Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1375383816884,-244,-466,2042,-4,-11,4,1051429677,142232642,-54004437,155790033,-19368
1375383816886,-263,-469,2041,-4,-8,5,1051426779,142235842,-54024234,155799807,-19363
1375383816886,-272,-472,2037,-6,-4,5,1051424972,142232464,-54035895,155811039,-19358
1375383816892,-262,-472,2048,-7,7,5,1051425353,142219547,-54018654,155826239,-19352
1375383816892,-242,-467,2039,-11,20,9,1051427613,142188953,-53966853,155856856,-19347
1375383816895,-240,-458,2043,-9,17,7,1051429738,142164897,-53919684,155880795,-19342
1375383816895,-230,-457,2045,-6,11,6,1051430434,142150672,-53887600,155900166,-19337
1375383816906,-230,-451,2051,-5,7,3,1051431546,142141006,-53863970,155909641,-19332
1375383816906,-216,-451,2050,-4,6,2,1051432659,142133806,-53842400,155916150,-19327
1375383816917,-202,-448,2054,-4,6,1,1051434325,142126565,-53818787,155919665,-19322
1375383816917,-204,-444,2026,-5,4,1,1051436286,142116657,-53799523,155922120,-19317
1375383816927,-198,-453,2044,-5,3,1,1051437998,142107631,-53783729,155924248,-19312
1375383816928,-221,-457,2054,-7,10,3,1051440668,142090200,-53748810,155934174,-19307
1375383816937,-200,-458,2042,-11,25,5,1051445919,142055572,-53676897,155955090,-19301
1375383816937,-204,-459,2043,-10,18,4,1051450342,142026984,-53621420,155970392,-19296
1375383816948,-209,-466,2038,-5,2,1,1051451778,142019635,-53608012,155972007,-19291
1375383816948,-215,-463,2049,-6,-6,3,1051451071,142016389,-53618296,155976189,-19286
1375383816955,-242,-470,2035,-5,-12,3,1051449161,142017827,-53645609,155978367,-19281
1375383816955,-260,-472,2047,-5,-15,5,1051445551,142021923,-53685354,155985300,-19276
1375383816966,-255,-470,2041,-7,-18,6,1051441699,142021652,-53736673,155993847,-19271
1375383816966,-265,-472,2045,-11,-7,8,1051440151,142005204,-53759092,156011526,-19266
1375383816978,-239,-453,2037,-19,14,14,1051442407,141954242,-53729822,156052776,-19260
1375383816978,-241,-454,2050,-16,7,13,1051443418,141912374,-53715873,156088841,-19255
1375383816987,-233,-450,2042,-14,2,12,1051443397,141878082,-53714783,156120530,-19250
1375383816987,-235,-450,2053,-15,-4,9,1051443858,141846393,-53728570,156141475,-19245
1375383816997,-217,-454,2050,-12,-4,9,1051443215,141822799,-53741210,156162882,-19240
1375383816998,-208,-450,2049,-11,-3,9,1051442455,141801885,-53748412,156184513,-19235
1375383817008,-200,-446,2037,-11,3,10,1051442655,141774962,-53738607,156210982,-19230
1375383817008,-199,-453,2038,-11,8,10,1051443644,141745762,-53714063,156239260,-19225
1375383817018,-207,-445,2037,-10,7,9,1051444447,141720712,-53691267,156264417,-19219
1375383817018,-213,-453,2039,-7,3,7,1051444392,141705244,-53678812,156283090,-19214
1375383817028,-218,-449,2048,-6,1,5,1051444346,141694674,-53671333,156295551,-19209
1375383817028,-221,-457,2047,-4,1,4,1051444005,141689173,-53663221,156305616,-19204
1375383817039,-234,-462,2045,-5,4,5,1051443911,141680502,-53647722,156319427,-19199
1375383817039,-249,-466,2047,-4,10,6,1051443668,141672853,-53616884,156338572,-19194
1375383817045,-250,-463,2040,-5,15,6,1051444315,141660970,-53574182,156359630,-19189
1375383817045,-255,-467,2039,-4,13,5,1051444707,141652757,-53536570,156377320,-19184
